populacao,ano,amazonia,fronteira,capital,latitude,longitude,altitude,area,sigla_uf,nome_uf,venda_gasolina,venda_etanol,venda_diesel,emissao_co,emissao_nox,emissao_covnm,emissao_mp25_total,emissao_mpcomb,emissao_co2e,energia_renovavel,municipio,regiao,uf_regiao,cluster
11272.0,2020,S,N,N,-11.125,-62.376,200,831865,RO,RONDONIA,2205200,26714,1755000,4128.216777725346,3138.8509308696803,587.6992238027957,133.21699818944614,68.99090402066707,700.1361052427784,0.1932887817445411,Urupá,N,Norte,18
11377.0,2020,S,N,N,-9.863,-62.186,140,3135141,RO,RONDONIA,1620000,0,1087000,2886.6056568074305,1959.5063370153,410.54304666523177,85.50846340723814,42.89819604144633,467.4284968447898,0.1613164764115112,Vale do Anari,N,Norte,1
6656.0,2020,S,N,N,-10.449,-62.134,204,965377,RO,RONDONIA,594000,0,161000,1600.3497448955166,577.5523489192966,228.3586705776517,30.96942250901716,12.207793608271205,208.46594740099104,0.1814067523199989,Vale do Paraíso,N,Norte,1
15490.0,2020,S,S,N,-9.828,-66.883,25,1574550,AC,ACRE,2123300,40000,2513900,3211.26766096868,3169.5231673593344,456.4186406135959,127.15883956635425,70.22100080325454,616.5404230410645,0.1927404425592621,Acrelândia,N,Norte,1
7534.0,2020,S,S,N,-10.941,-69.567,239,2875915,AC,ACRE,1000000,34600,3357000,4813.896801546526,8327.462822039208,679.2445587849136,306.16341397440675,186.61730531664293,1279.861593814408,0.167245784567659,Assis Brasil,N,Norte,18
26702.0,2020,S,S,N,-11.01,-68.748,172,4336189,AC,ACRE,3781000,200394,2484000,2920.27316988406,1916.9823520302384,418.8063828912559,84.57804144065592,41.86563321840303,460.4668134673649,0.3100063758967558,Brasiléia,N,Norte,1
10420.0,2020,S,S,N,-9.831,-67.952,50,3467681,AC,ACRE,1031700,10000,1028300,2203.6806460291564,1950.912064337912,313.1751971479926,80.00054605457831,43.09427066367434,401.40648455381,0.1777379620098902,Bujari,N,Norte,1
12008.0,2020,S,S,N,-10.573,-67.676,40,1713412,AC,ACRE,2494000,75000,2758000,4789.842102923122,4508.163877527048,682.1837960564804,182.63747273735703,99.73368911011944,895.8785047182279,0.2217796665676288,Capixaba,N,Norte,18
89072.0,2020,S,S,N,-7.631,-72.67,182,7924943,AC,ACRE,14275000,216713,58789000,6500.739591024146,12276.755690001208,914.0398513846624,446.6684338099524,275.493672060018,1834.0194351683813,0.138540495034403,Cruzeiro do Sul,N,Norte,7
18696.0,2020,S,S,N,-11.029,-68.741,0,1659131,AC,ACRE,3565000,204315,2650000,4035.586525213231,2882.137986822926,578.6640096918989,124.42149838275677,63.15272574185775,659.1000820794078,0.3101968598339985,Epitaciolândia,N,Norte,18
34884.0,2020,S,S,N,-8.164,-70.354,153,24202027,AC,ACRE,2609000,40000,6598000,2338.430536765915,3562.631994430716,330.1789085125736,133.10799339269414,79.68072587892053,574.5010246854347,0.1539057063937134,Feijó,N,Norte,1
8473.0,2020,S,S,N,-9.434,-71.884,278,5428765,AC,ACRE,110000,0,489000,549.8364595517056,1071.787165251119,77.16805911471224,38.85379055406706,24.062775136592737,158.61220890223774,0.121503465035347,Jordão,N,Norte,1
19311.0,2020,S,S,N,-7.614,-72.896,195,4672321,AC,ACRE,1946000,10000,1088000,1981.130831109802,1181.5484401657611,282.23755244757007,53.4234880619121,25.723737551716223,304.1327117259107,0.1839587178788333,Mâncio Lima,N,Norte,1
9581.0,2020,S,S,N,-8.839,-69.26,162,9386961,AC,ACRE,1849000,20000,3793000,5487.702094061956,7512.49874591059,775.8267526347469,284.9583789177281,167.7002861317663,1264.209679675734,0.1538826890571022,Manoel Urbano,N,Norte,18
19299.0,2020,S,S,N,-8.941,-72.792,190,7743828,AC,ACRE,1475000,0,2246000,1930.1845393199376,2238.241241333081,273.14711643493536,87.1550270935237,49.79588227348681,404.9847633992771,0.1412119689556394,Marechal Thaumaturgo,N,Norte,1
19955.0,2020,S,S,N,-10.276,-67.15,136,2047455,AC,ACRE,1403500,0,1098500,1471.7649359803645,1111.066838225993,209.15411556323016,47.21524997880804,24.419870207663774,249.4779592394975,0.1574763583872399,Plácido de Castro,N,Norte,1
12241.0,2020,S,S,N,-8.269,-72.744,195,6135544,AC,ACRE,777000,0,1592000,1798.433247833116,2467.662724367752,253.9381132947883,93.55284676750168,55.09180309164215,415.4095015100427,0.1347187365213759,Porto Walter,N,Norte,1
413418.0,2020,S,S,S,-9.975,-67.81,153,9222577,AC,ACRE,78599180,5010000,47667600,3881.4536359728,2400.084751133925,557.8358653422708,107.69235022022735,52.26866959186171,595.612789219246,0.3401668225806564,Rio Branco,N,Norte,15
19351.0,2020,S,S,N,-7.742,-72.647,0,3304559,AC,ACRE,940000,0,360000,902.9045263062936,413.4759712362053,128.7087330417786,20.30342185442279,8.880987061234753,126.34260146556456,0.1744581599653899,Rodrigues Alves,N,Norte,1
